date,hour,channel,revenue,checks,paid_checks,AOV
2025-02-01,10,Aggregator,5059.2,3,3,1686.3999999999999
2025-02-01,12,Delivery,11754.65,5,5,2350.93
2025-02-01,12,Aggregator,4780.4,3,3,1593.4666666666665
2025-02-01,16,Aggregator,15041.599999999999,8,8,1880.1999999999998
2025-02-01,17,Delivery,12860.5,5,5,2572.1
2025-02-01,17,Aggregator,26424.8,7,7,3774.9714285714285
2025-02-01,18,Aggregator,5759.599999999999,4,4,1439.8999999999999
2025-02-01,18,Delivery,6195.65,4,4,1548.9125
2025-02-01,20,Aggregator,15313.599999999999,9,9,1701.511111111111
2025-02-01,20,Pickup,2541.5,1,1,2541.5
2025-02-01,9,Restaurant,10242.5,5,5,2048.5
2025-02-01,13,Restaurant,53156.875,13,13,4088.9903846153848
2025-02-01,14,Restaurant,137272.02500000002,23,23,5968.348913043479
2025-02-01,15,Restaurant,42350.4,11,11,3850.0363636363636
2025-02-01,19,Restaurant,65327.6,15,15,4355.173333333333
2025-02-01,22,Restaurant,8857.0,2,2,4428.5
2025-02-02,10,Pickup,1003.0,1,1,1003.0
2025-02-02,10,Aggregator,6317.200000000001,4,4,1579.3000000000002
2025-02-02,11,Aggregator,7697.599999999999,4,4,1924.3999999999999
2025-02-02,12,Delivery,12630.15,5,5,2526.0299999999997
2025-02-02,12,Aggregator,9771.6,3,3,3257.2000000000003
2025-02-02,13,Aggregator,3522.4,2,2,1761.2
2025-02-02,14,Delivery,30973.15,3,3,10324.383333333333
2025-02-02,14,Aggregator,8262.0,4,4,2065.5
2025-02-02,14,Pickup,2301.8,2,2,1150.9
2025-02-02,15,Aggregator,17190.399999999998,5,5,3438.0799999999995
2025-02-02,15,Pickup,1887.0,1,1,1887.0
2025-02-02,18,Aggregator,10764.4,6,6,1794.0666666666666
2025-02-02,20,Aggregator,7112.799999999999,4,4,1778.1999999999998
2025-02-02,21,Aggregator,9982.4,5,5,1996.48
2025-02-02,21,Pickup,799.0,1,1,799.0
2025-02-02,9,Delivery,297.5,1,1,297.5
2025-02-02,10,Delivery,2499.0,2,2,1249.5
