year,dish,category,revenue,qty,orders
2025,Цейлонский FOP,ЧАЙНАЯ КАРТА,343196.323,645.33,589
2025,Стейк из форели с брокколи и шпинатом,РЫБА,316622.1355000001,256.0,185
2025,Пеппер стейк с гратеном,МЯСО,306290.5895,206.0,159
2025,Зеленый салат с томатами,САЛАТЫ,286306.8175000003,402.0,345
2025,Теплый салат с ростбифом,САЛАТЫ,275911.67450000014,376.0,274
2025,Салат «Нисуаз» со свежим тунцом,САЛАТЫ,269670.2945000002,336.0,250
2025,Говяжья щека с картофельным пюре и трюфельной пастой,МЯСО,265632.2080000001,231.0,184
2025,Капучино 180 мл,КОФЕ,256427.26049999974,1017.0,733
2025,Американо 120 мл ,КОФЕ,241740.59499999994,1204.0,864
2025,Пармезан тертый 20 г,ДОПЫ,225341.34100000034,1439.0,1065
2025,Куриное филе с соусом из белых грибов и трюфеля,МЯСО,222403.3925000002,302.0,268
2025,Мясная лазанья с соусом Наполи,ПАСТА,201217.644,246.0,217
2025,Вителло Тоннато,ЗАКУСКИ,196060.07350000014,291.0,212
2025,"С лососем, брокколи и томатами черри",ПАСТА,194277.84450000006,239.0,220
2025,Треска с шпинатом и соусом из цветной капусты,РЫБА,192351.3875,175.0,143
2025,«Карбонара»,ПАСТА,190826.78500000006,284.0,259
2025,Цезарь Антико с курицей,САЛАТЫ,188751.34850000002,351.0,250
2025,"С креветками, помидорини и Перно Рикар",ПАСТА,186438.54950000005,280.0,252
2025,Сметанник с клубникой и йогуртом,ДЕСЕРТЫ,186047.36250000002,339.0,276
2025,«Четыре сыра» с трюфелем,ПАСТА,180545.73750000005,220.0,201
2025,Тартар из говядины с соусом Айоли,ЗАКУСКИ,169117.78499999997,234.0,202
2025,Кальмар на гриле с соусом берблан ,РЫБА,165092.69499999998,213.0,187
2025,Паста «Болоньезе» из рагу ягненка ,ПАСТА,164386.991,210.0,193
2025,Греческий салат с нутом и фетой,САЛАТЫ,162914.83350000007,276.0,216
2025,"Драник с лососем, шпинатом и яйцом ",ЗАВТРАК,150519.258,219.0,184
2025,Тальята из говядины с кремом из пастернака,МЯСО,149942.9665,104.0,88
2025,Томатный суп с морепродуктами,СУПЫ,149602.0145,209.0,188
2025,Ризотто с белыми грибами,ПАСТА,147192.73199999996,181.0,158
2025,Суп из белых грибов,СУПЫ,146379.6815,276.0,251
2025,"750 мл Просекко Монтефьоре. Италия, Венето",ИГРИСТОЕ ВИНО БУТЫЛКИ,145676.4,42.0,13
2025,"125 мл Просекко Монтефьоре. Италия, Венето",ИГРИСТОЕ ВИНО БОКАЛЫ,145035.61900000004,255.0,131
2025,Классический «Наполеон»,ДЕСЕРТЫ,144528.985,252.0,198
2025,Д.Филадельфия с лососем +,Д.ПАНАЗИЯ,137441.59999999983,163.0,141
2025,"Апельсин фреш 0,3",БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,136613.819,306.89,265
2025,Сырники со сметаной и клубничным вареньем,ЗАВТРАК,135412.93049999993,245.0,214
2025,Филадельфия с лососем,ПАНАЗИЯ,133951.60199999993,168.0,155
2025,"Aranciata 1,3",БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,128309.52299999997,129.0,97
2025,С куриным филе и сливочным песто,ПАСТА,126990.90949999998,185.0,173
2025,Цезарь Антико с креветками,САЛАТЫ,123511.06049999996,171.0,145
