date,revenue_plan,restaurant,banquet_our,banquet_cb,aggregator,pickup,delivery,aov_restaurant,aov_delivery,apg_restaurant,apg_delivery,apg_banquet
2026-02-01,945610.2363966295,621234.6506711604,71048.40154953954,33979.67030630152,126349.48092659231,27899.40988291067,65098.62306012489,4760,2500,2200,2500,5100
2026-02-02,571575.6046565915,375506.26825285144,42945.31881371154,20539.065519601172,76372.14380616334,16863.84247927923,39348.96578498486,3570,2500,2000,2500,5100
2026-02-03,705795.641716646,463684.39347473107,53029.93795380826,25362.144238777862,94306.20517706065,20823.888261680477,48589.07261058778,3570,2500,2000,2500,5100
2026-02-04,688107.6417171538,452063.9624791564,51700.95051458487,24726.541550453632,91942.78996374646,20302.019162763732,47371.378046448706,3570,2500,2000,2500,5100
2026-02-05,924324.9089673886,607250.8945304547,69449.12900351794,33214.80082776945,123505.40207832879,27271.404758195345,63633.27776912248,3570,2500,2000,2500,5100
2026-02-06,1128324.8420032489,741272.1035429554,84776.65888902528,40545.35859909905,150763.23480480243,33290.24585021008,77677.24031715684,3570,2500,2000,2500,5100
2026-02-07,1262552.002951066,829454.9089234831,94861.81328225153,45368.693308902904,168698.2480472916,37250.5018167411,86917.83757239592,4760,2500,2200,2500,5100
2026-02-08,1083542.3851177318,711851.5104818186,81411.93010679304,38936.14048585754,144779.54304225973,31968.978300300896,74594.2827007021,4760,2500,2200,2500,5100
2026-02-09,686078.2772661292,450730.7371530211,51548.47426712356,24653.618127754744,91671.63263578126,20242.14452473454,47231.67055771393,3570,2500,2000,2500,5100
2026-02-10,636634.8634832744,418248.04956449766,47833.544604548646,22876.912636958048,85065.1583969786,18783.35948408739,43827.838796203905,3570,2500,2000,2500,5100
2026-02-11,837160.9812626464,549987.0768447191,62900.06946731807,30082.64191915212,111858.8307986183,24699.708669851618,57632.65356298711,3570,2500,2000,2500,5100
2026-02-12,822619.5222851484,540433.819233466,61807.4973093787,29560.107408833286,109915.84655098211,24270.675534746493,56631.57624774182,3570,2500,2000,2500,5100
2026-02-13,1352900.1197733956,888810.6335471903,101650.11678845971,48615.27324665464,180770.28071341044,39916.144643304164,93137.67083437637,3570,2500,2000,2500,5100
2026-02-14,1505749.736647276,989227.7765613204,113134.46894366806,54107.78949479777,201193.5682461638,44425.840020397736,103660.29338092805,4760,2500,2200,2500,5100
2026-02-15,1014218.1820684039,666307.8018725329,76203.2578380587,36445.03635733242,135516.65994963387,29923.62781525382,69821.79823559226,4760,2500,2200,2500,5100
2026-02-16,590237.2183763162,387766.3312618041,44347.458695544694,21209.65415873877,78865.65023828996,17414.437206581613,40633.6868153571,3570,2500,2000,2500,5100
2026-02-17,697976.349281151,458547.37695598963,52442.43561150355,25081.16485767561,93261.41578877863,20593.186820161056,48050.769247042466,3570,2500,2000,2500,5100
2026-02-18,691465.682002985,454270.08388479764,51953.256787787264,24847.209768072167,92391.48079926678,20401.09522891837,47602.555534142855,3570,2500,2000,2500,5100
2026-02-19,682687.3538692353,448503.01263097127,51293.69732219082,24531.768284526042,91218.54806185361,20142.098270908016,46998.22929878537,3570,2500,2000,2500,5100
2026-02-20,851332.6113913337,559297.3691338386,63964.85454391722,30591.8869557865,113752.399672689,25117.830325530707,58608.27075957165,3570,2500,2000,2500,5100
2026-02-21,1464806.630663174,962329.5100616363,110058.20969574715,52636.535071879065,195722.8785375513,43217.84918890806,100841.64810745216,4760,2500,2200,2500,5100
2026-02-22,1390601.5265790992,913579.2109010088,104482.81104938628,49970.04006709778,185807.82472124082,41028.49195210961,95733.14788825576,4760,2500,2200,2500,5100
2026-02-23,1081880.6793245438,710759.8247341227,81287.07788342719,38876.428552943435,144557.5111137327,31919.951112095285,74479.88592822234,4760,2500,2200,2500,5100
2026-02-24,713118.9983365148,468495.5965649398,53580.17817096331,25625.302603504188,95284.72917346611,21039.95754709243,49093.234276549,3570,2500,2000,2500,5100
2026-02-25,669445.8864632351,439803.80648691935,50298.79999858357,24055.947825409534,89449.26462026368,19751.42025961771,46086.64727244132,3570,2500,2000,2500,5100
2026-02-26,806080.6384063954,529568.3195239236,60564.84868125409,28965.79719538239,107705.97263808051,23782.71011032648,55492.99025742845,3570,2500,2000,2500,5100
2026-02-27,1056850.4514793216,694315.7928770862,79406.43233796391,37976.98937902622,141213.0503898625,31181.455948614865,72756.73054676801,3570,2500,2000,2500,5100
2026-02-28,1158160.6275139684,760873.2278496058,87018.36988994385,41617.48125171227,154749.7991071112,34170.52482467861,79731.22459091675,4760,2500,2200,2500,5100
